Mice_Liver_Genes,Mice_Blood_Genes
"""Abca8a"""," ""Abca1"""
" ""Abcb11"""," ""Abca8a"""
" ""Abcb4"""," ""Gstp1"""
" ""Abcd2"""," ""Gstp2"""
" ""Abcd3"""," ""Uckl1"""
" ""Abcg2"""," ""Cmpk1"""
" ""Aox3"""," ""Abca4"""
" ""Ces1c"""," ""Abcb5"""
" ""Ces2c""",
" ""Cyp1a2""",
" ""Gsta1""",
" ""Gstp1""",
" ""Gstp2""",
" ""Tap1""",
" ""Ugt2b35""",
" ""Ugt2b36""",
" ""Ugt2b37""",
" ""Ugt2b38""",
" ""Ugt2b5""",
" ""Abca1""",
" ""Abca2""",
" ""Abca3""",
" ""Abca4""",
" ""Abcb9""",
" ""Abcc5""",
" ""Abcc9""",
" ""Abcg8""",
" ""Aox1""",
" ""Dpyd""",
" ""Nme6""",
" ""Uck2""",
" ""Upp2""",
